"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"1";"1";"166666";"15225";"1471900074235";"829";"";""
"2";"166667";"333332";"13440";"1471900074200";"815";"";""
"3";"333333";"499998";"12873";"1471900074200";"926";"";""
"4";"499999";"666664";"12531";"1471900074200";"984";"";""
"5";"666665";"833330";"12350";"1471900074200";"1003";"";""
"6";"833331";"1000000";"12079";"1471900074232";"1036";"";""
"6";"1";"1000000";"78498";"1471900074198";"1070";"true";"Prim2"
"1";"1";"142";"34";"1471900075339";"0";"";""
"4";"427";"568";"21";"1471900075339";"0";"";""
"6";"711";"852";"19";"1471900075357";"0";"";""
"2";"143";"284";"27";"1471900075339";"0";"";""
"7";"853";"1000";"22";"1471900075357";"0";"";""
"5";"569";"710";"24";"1471900075355";"0";"";""
"3";"285";"426";"21";"1471900075339";"0";"";""
"7";"1";"1000";"168";"1471900075339";"20";"true";"Prim2"
"2";"1429";"2856";"189";"1471900075382";"1";"";""
"5";"5713";"7140";"162";"1471900075382";"1";"";""
"1";"1";"1428";"225";"1471900075382";"1";"";""
"3";"2857";"4284";"174";"1471900075382";"1";"";""
"4";"4285";"5712";"164";"1471900075382";"1";"";""
"7";"8569";"10000";"162";"1471900075387";"0";"";""
"6";"7141";"8568";"153";"1471900075385";"0";"";""
"7";"1";"10000";"1229";"1471900075381";"25";"true";"Prim2"
"2";"14286";"28570";"1431";"1471900075410";"0";"";""
"3";"28571";"42855";"1374";"1471900075410";"20";"";""
"5";"57141";"71425";"1280";"1471900075410";"20";"";""
"4";"42856";"57140";"1313";"1471900075410";"19";"";""
"1";"1";"14285";"1676";"1471900075430";"14";"";""
"6";"71426";"85710";"1267";"1471900075426";"17";"";""
"7";"85711";"100000";"1251";"1471900075430";"18";"";""
"7";"1";"100000";"9592";"1471900075410";"41";"true";"Prim2"
"1";"1";"142857";"13252";"1471900075451";"637";"";""
"3";"285715";"428571";"11146";"1471900075466";"781";"";""
"2";"142858";"285714";"11648";"1471900075451";"800";"";""
"4";"428572";"571428";"10889";"1471900075466";"868";"";""
"5";"571429";"714285";"10687";"1471900075491";"899";"";""
"6";"714286";"857142";"10517";"1471900075536";"875";"";""
"7";"857143";"1000000";"10359";"1471900075537";"896";"";""
"7";"1";"1000000";"78498";"1471900075451";"985";"true";"Prim2"
"1";"1";"125";"30";"1471900076517";"0";"";""
"5";"501";"625";"19";"1471900076520";"0";"";""
"7";"751";"875";"18";"1471900076523";"0";"";""
"4";"376";"500";"21";"1471900076520";"0";"";""
"2";"126";"250";"23";"1471900076517";"0";"";""
"8";"876";"1000";"18";"1471900076524";"0";"";""
"6";"626";"750";"18";"1471900076521";"0";"";""
"3";"251";"375";"21";"1471900076520";"0";"";""
"8";"1";"1000";"168";"1471900076517";"27";"true";"Prim2"
"2";"1251";"2500";"163";"1471900076551";"1";"";""
"1";"1";"1250";"204";"1471900076552";"0";"";""
"7";"7501";"8750";"141";"1471900076557";"1";"";""
"4";"3751";"5000";"147";"1471900076551";"1";"";""
"3";"2501";"3750";"155";"1471900076551";"1";"";""
"8";"8751";"10000";"138";"1471900076558";"0";"";""
"6";"6251";"7500";"138";"1471900076555";"1";"";""
"5";"5001";"6250";"143";"1471900076554";"1";"";""
"8";"1";"10000";"1229";"1471900076550";"28";"true";"Prim2"
"2";"12501";"25000";"1270";"1471900076578";"18";"";""
"6";"62501";"75000";"1118";"1471900076578";"26";"";""
"5";"50001";"62500";"1142";"1471900076578";"25";"";""
"3";"25001";"37500";"1206";"1471900076578";"19";"";""
"7";"75001";"87500";"1099";"1471900076599";"10";"";""
