"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"1";"1";"10000";"1229";"1475179768490";"0";"true";"Prim1"
"1";"1";"100000";"9592";"1475179768490";"78";"true";"Prim1"
"1";"1";"1000000";"78498";"1475179768568";"3047";"true";"Prim1"
"1";"1";"10000000";"664579";"1475179771615";"300644";"true";"Prim1"
"1";"1";"10000";"1229";"1475180712355";"0";"";""
"1";"1";"10000";"1229";"1475180712339";"16";"true";"Prim2"
"1";"1";"100000";"9592";"1475180712355";"94";"";""
"1";"1";"100000";"9592";"1475180712355";"94";"true";"Prim2"
"1";"1";"1000000";"78498";"1475180712449";"3031";"";""
"1";"1";"1000000";"78498";"1475180712449";"3031";"true";"Prim2"
"1";"1";"10000000";"664579";"1475180715480";"301316";"";""
"1";"1";"10000000";"664579";"1475180715480";"301316";"true";"Prim2"
"1";"1";"5000";"669";"1475181017046";"0";"";""
"2";"5001";"10000";"560";"1475181017046";"0";"";""
"2";"1";"10000";"1229";"1475181017046";"0";"true";"Prim2"
"1";"1";"50000";"5133";"1475181017046";"31";"";""
"2";"50001";"100000";"4459";"1475181017046";"31";"";""
"2";"1";"100000";"9592";"1475181017046";"31";"true";"Prim2"
"2";"500001";"1000000";"36960";"1475181017077";"1157";"";""
"1";"1";"500000";"41538";"1475181017077";"1219";"";""
"2";"1";"1000000";"78498";"1475181017077";"1219";"true";"Prim2"
"2";"5000001";"10000000";"316066";"1475181018296";"133189";"";""
"1";"1";"5000000";"348513";"1475181018296";"144408";"";""
"2";"1";"10000000";"664579";"1475181018296";"144408";"true";"Prim2"
"1";"1";"3333";"470";"1475181162845";"0";"";""
"3";"6667";"10000";"370";"1475181162845";"0";"";""
"2";"3334";"6666";"389";"1475181162845";"0";"";""
"3";"1";"10000";"1229";"1475181162845";"0";"true";"Prim2"
"2";"33334";"66666";"3076";"1475181162845";"15";"";""
"1";"1";"33333";"3569";"1475181162845";"15";"";""
"3";"66667";"100000";"2947";"1475181162845";"15";"";""
"3";"1";"100000";"9592";"1475181162845";"15";"true";"Prim2"
"2";"333334";"666666";"25404";"1475181162860";"719";"";""
"3";"666667";"1000000";"24429";"1475181162860";"750";"";""
"1";"1";"333333";"28665";"1475181162860";"797";"";""
"3";"1";"1000000";"78498";"1475181162860";"797";"true";"Prim2"
"3";"6666667";"10000000";"209198";"1475181163657";"85439";"";""
"2";"3333334";"6666666";"216262";"1475181163657";"87955";"";""
"1";"1";"3333333";"239119";"1475181163657";"92330";"";""
"3";"1";"10000000";"664579";"1475181163657";"92330";"true";"Prim2"
"1";"1";"2500";"367";"1475181256112";"0";"";""
"4";"7501";"10000";"279";"1475181256112";"0";"";""
"3";"5001";"7500";"281";"1475181256112";"0";"";""
"2";"2501";"5000";"302";"1475181256112";"0";"";""
"4";"1";"10000";"1229";"1475181256112";"15";"true";"Prim2"
"1";"1";"25000";"2762";"1475181256127";"0";"";""
"2";"25001";"50000";"2371";"1475181256127";"0";"";""
"3";"50001";"75000";"2260";"1475181256127";"0";"";""
"4";"75001";"100000";"2199";"1475181256127";"0";"";""
"4";"1";"100000";"9592";"1475181256127";"0";"true";"Prim2"
"4";"750001";"1000000";"18260";"1475181256143";"547";"";""
"3";"500001";"750000";"18700";"1475181256143";"547";"";""
"2";"250001";"500000";"19494";"1475181256143";"562";"";""
"1";"1";"250000";"22044";"1475181256143";"578";"";""
"4";"1";"1000000";"78498";"1475181256143";"578";"true";"Prim2"
"4";"7500001";"10000000";"156318";"1475181256737";"61032";"";""
"3";"5000001";"7500000";"159748";"1475181256737";"63516";"";""
"2";"2500001";"5000000";"165441";"1475181256737";"64016";"";""
"1";"1";"2500000";"183072";"1475181256737";"66391";"";""
"4";"1";"10000000";"664579";"1475181256737";"66391";"true";"Prim2"
"1";"1";"2000";"303";"1475181323394";"0";"";""
"3";"4001";"6000";"233";"1475181323394";"0";"";""
"2";"2001";"4000";"247";"1475181323394";"0";"";""
"4";"6001";"8000";"224";"1475181323394";"0";"";""
"5";"8001";"10000";"222";"1475181323394";"0";"";""
"5";"1";"10000";"1229";"1475181323394";"0";"true";"Prim2"
"1";"1";"20000";"2262";"1475181323394";"0";"";""
"5";"80001";"100000";"1755";"1475181323394";"15";"";""
"3";"40001";"60000";"1854";"1475181323394";"15";"";""
"2";"20001";"40000";"1941";"1475181323394";"0";"";""
"4";"60001";"80000";"1780";"1475181323394";"15";"";""
"5";"1";"100000";"9592";"1475181323394";"15";"true";"Prim2"
"2";"200001";"400000";"15876";"1475181323409";"375";"";""
"3";"400001";"600000";"15238";"1475181323456";"391";"";""
"5";"800001";"1000000";"14547";"1475181323409";"485";"";""
"4";"600001";"800000";"14853";"1475181323409";"500";"";""
"1";"1";"200000";"17984";"1475181323409";"516";"";""
"5";"1";"1000000";"78498";"1475181323409";"516";"true";"Prim2"
"5";"8000001";"10000000";"124802";"1475181323925";"43797";"";""
"4";"6000001";"8000000";"126928";"1475181323925";"45204";"";""
"3";"4000001";"6000000";"129703";"1475181323925";"46000";"";""
"2";"2000001";"4000000";"134213";"1475181323941";"47234";"";""
"1";"1";"2000000";"148933";"1475181323925";"48672";"";""
"5";"1";"10000000";"664579";"1475181323925";"48672";"true";"Prim2"
"1";"1";"1666";"261";"1475181372879";"0";"";""
"4";"4999";"6664";"191";"1475181372879";"0";"";""
"6";"8331";"10000";"184";"1475181372879";"0";"";""
"5";"6665";"8330";"186";"1475181372879";"0";"";""
"3";"3333";"4998";"198";"1475181372879";"0";"";""
"2";"1667";"3332";"209";"1475181372879";"0";"";""
"6";"1";"10000";"1229";"1475181372879";"0";"true";"Prim2"
"1";"1";"16666";"1928";"1475181372879";"0";"";""
"6";"83331";"100000";"1458";"1475181372879";"15";"";""
"5";"66665";"83330";"1489";"1475181372879";"15";"";""
"2";"16667";"33332";"1641";"1475181372879";"15";"";""
"3";"33333";"49998";"1563";"1475181372879";"15";"";""
"4";"49999";"66664";"1513";"1475181372894";"0";"";""
"6";"1";"100000";"9592";"1475181372879";"15";"true";"Prim2"
"3";"333333";"499998";"12873";"1475181372894";"375";"";""
"6";"833331";"1000000";"12079";"1475181372894";"391";"";""
"2";"166667";"333332";"13440";"1475181372894";"391";"";""
"5";"666665";"833330";"12350";"1475181372894";"406";"";""
"4";"499999";"666664";"12531";"1475181372941";"391";"";""
"1";"1";"166666";"15225";"1475181372894";"438";"";""
"6";"1";"1000000";"78498";"1475181372894";"438";"true";"Prim2"
"6";"8333331";"10000000";"103889";"1475181373347";"34188";"";""
"4";"4999999";"6666664";"106869";"1475181373347";"34657";"";""
"5";"6666665";"8333330";"105309";"1475181373347";"34735";"";""
"3";"3333333";"4999998";"109393";"1475181373379";"35688";"";""
"2";"1666667";"3333332";"113323";"1475181373332";"36094";"";""
"1";"1";"1666666";"125796";"1475181373332";"37094";"";""
"6";"1";"10000000";"664579";"1475181373332";"37094";"true";"Prim2"
"2";"1429";"2856";"189";"1475181410676";"0";"";""
"1";"1";"1428";"225";"1475181410676";"0";"";""
"3";"2857";"4284";"174";"1475181410676";"0";"";""
"6";"7141";"8568";"153";"1475181410676";"0";"";""
"4";"4285";"5712";"164";"1475181410676";"0";"";""
"7";"8569";"10000";"162";"1475181410676";"0";"";""
"5";"5713";"7140";"162";"1475181410676";"0";"";""
"7";"1";"10000";"1229";"1475181410676";"0";"true";"Prim2"
"1";"1";"14285";"1676";"1475181410676";"0";"";""
"4";"42856";"57140";"1313";"1475181410676";"16";"";""
"3";"28571";"42855";"1374";"1475181410676";"0";"";""
"2";"14286";"28570";"1431";"1475181410676";"0";"";""
"6";"71426";"85710";"1267";"1475181410676";"16";"";""
"5";"57141";"71425";"1280";"1475181410676";"16";"";""
"7";"85711";"100000";"1251";"1475181410676";"16";"";""
"7";"1";"100000";"9592";"1475181410676";"16";"true";"Prim2"
"3";"285715";"428571";"11146";"1475181410692";"281";"";""
"6";"714286";"857142";"10517";"1475181410692";"328";"";""
"5";"571429";"714285";"10687";"1475181410692";"328";"";""
"2";"142858";"285714";"11648";"1475181410692";"296";"";""
"4";"428572";"571428";"10889";"1475181410738";"282";"";""
"7";"857143";"1000000";"10359";"1475181410738";"297";"";""
"1";"1";"142857";"13252";"1475181410692";"359";"";""
"7";"1";"1000000";"78498";"1475181410692";"359";"true";"Prim2"
"7";"8571427";"10000000";"88947";"1475181411098";"28235";"";""
"3";"2857143";"4285713";"94653";"1475181411051";"28360";"";""
"4";"4285714";"5714284";"92618";"1475181411051";"28657";"";""
"5";"5714285";"7142855";"91183";"1475181411098";"28672";"";""
"6";"7142856";"8571426";"89924";"1475181411098";"28719";"";""
"2";"1428572";"2857142";"98157";"1475181411051";"29266";"";""
"1";"1";"1428571";"109097";"1475181411051";"30235";"";""
"7";"1";"10000000";"664579";"1475181411051";"30235";"true";"Prim2"
"2";"1251";"2500";"163";"1475181441520";"0";"";""
"1";"1";"1250";"204";"1475181441520";"0";"";""
"3";"2501";"3750";"155";"1475181441520";"0";"";""
"6";"6251";"7500";"138";"1475181441520";"0";"";""
"4";"3751";"5000";"147";"1475181441520";"0";"";""
"7";"7501";"8750";"141";"1475181441520";"0";"";""
"8";"8751";"10000";"138";"1475181441520";"0";"";""
"5";"5001";"6250";"143";"1475181441520";"0";"";""
"8";"1";"10000";"1229";"1475181441520";"16";"true";"Prim2"
"5";"50001";"62500";"1142";"1475181441536";"0";"";""
"7";"75001";"87500";"1099";"1475181441536";"0";"";""
"6";"62501";"75000";"1118";"1475181441536";"0";"";""
"3";"25001";"37500";"1206";"1475181441536";"0";"";""
"2";"12501";"25000";"1270";"1475181441536";"0";"";""
"1";"1";"12500";"1492";"1475181441536";"0";"";""
"8";"87501";"100000";"1100";"1475181441536";"0";"";""
"4";"37501";"50000";"1165";"1475181441536";"15";"";""
"8";"1";"100000";"9592";"1475181441536";"15";"true";"Prim2"
"2";"125001";"250000";"10310";"1475181441551";"172";"";""
"8";"875001";"1000000";"9050";"1475181441598";"235";"";""
"1";"1";"125000";"11734";"1475181441551";"266";"";""
"3";"250001";"375000";"9860";"1475181441551";"266";"";""
"4";"375001";"500000";"9634";"1475181441551";"250";"";""
"7";"750001";"875000";"9210";"1475181441598";"250";"";""
"6";"625001";"750000";"9252";"1475181441598";"250";"";""
"5";"500001";"625000";"9448";"1475181441645";"219";"";""
"8";"1";"1000000";"78498";"1475181441551";"313";"true";"Prim2"
"7";"7500001";"8750000";"78589";"1475181441864";"23531";"";""
"6";"6250001";"7500000";"79445";"1475181441864";"24172";"";""
