"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"5";"666665";"833330";"12350";"1475227672560";"213";"";""
"6";"833331";"1000000";"12079";"1475227672615";"198";"";""
"6";"1";"1000000";"78498";"1475227672446";"367";"true";"Prim2"
"1";"1";"1666666";"125796";"1475227672815";"3386";"";""
"2";"1666667";"3333332";"113323";"1475227672815";"5168";"";""
"3";"3333333";"4999998";"109393";"1475227672816";"6161";"";""
"4";"4999999";"6666664";"106869";"1475227672852";"6802";"";""
"5";"6666665";"8333330";"105309";"1475227672923";"7160";"";""
"6";"8333331";"10000000";"103889";"1475227673031";"7298";"";""
"6";"1";"10000000";"664579";"1475227672814";"7515";"true";"Prim2"
"1";"1";"1428";"225";"1475227680365";"0";"";""
"2";"1429";"2856";"189";"1475227680365";"0";"";""
"3";"2857";"4284";"174";"1475227680365";"0";"";""
"4";"4285";"5712";"164";"1475227680366";"0";"";""
"5";"5713";"7140";"162";"1475227680366";"0";"";""
"6";"7141";"8568";"153";"1475227680367";"0";"";""
"7";"8569";"10000";"162";"1475227680367";"0";"";""
"7";"1";"10000";"1229";"1475227680364";"4";"true";"Prim2"
"1";"1";"14285";"1676";"1475227680371";"3";"";""
"2";"14286";"28570";"1431";"1475227680372";"4";"";""
"3";"28571";"42855";"1374";"1475227680372";"5";"";""
"4";"42856";"57140";"1313";"1475227680372";"6";"";""
"5";"57141";"71425";"1280";"1475227680375";"7";"";""
"6";"71426";"85710";"1267";"1475227680377";"5";"";""
"7";"85711";"100000";"1251";"1475227680378";"6";"";""
"7";"1";"100000";"9592";"1475227680371";"13";"true";"Prim2"
"1";"1";"142857";"13252";"1475227680386";"75";"";""
"2";"142858";"285714";"11648";"1475227680386";"114";"";""
"3";"285715";"428571";"11146";"1475227680387";"149";"";""
"4";"428572";"571428";"10889";"1475227680387";"164";"";""
"5";"571429";"714285";"10687";"1475227680455";"177";"";""
"6";"714286";"857142";"10517";"1475227680492";"149";"";""
"7";"857143";"1000000";"10359";"1475227680531";"144";"";""
"7";"1";"1000000";"78498";"1475227680385";"291";"true";"Prim2"
"1";"1";"1428571";"109097";"1475227680678";"3104";"";""
"2";"1428572";"2857142";"98157";"1475227680678";"4944";"";""
"3";"2857143";"4285713";"94653";"1475227680678";"5889";"";""
"4";"4285714";"5714284";"92618";"1475227680678";"6497";"";""
"5";"5714285";"7142855";"91183";"1475227680713";"6939";"";""
"6";"7142856";"8571426";"89924";"1475227680782";"7266";"";""
"7";"8571427";"10000000";"88947";"1475227680921";"7380";"";""
"7";"1";"10000000";"664579";"1475227680677";"7624";"true";"Prim2"
"1";"1";"1250";"204";"1475227688347";"0";"";""
"2";"1251";"2500";"163";"1475227688347";"0";"";""
"3";"2501";"3750";"155";"1475227688348";"0";"";""
"4";"3751";"5000";"147";"1475227688349";"0";"";""
"5";"5001";"6250";"143";"1475227688350";"1";"";""
"6";"6251";"7500";"138";"1475227688352";"0";"";""
"7";"7501";"8750";"141";"1475227688354";"0";"";""
"8";"8751";"10000";"138";"1475227688354";"0";"";""
"8";"1";"10000";"1229";"1475227688347";"8";"true";"Prim2"
"1";"1";"12500";"1492";"1475227688359";"3";"";""
"2";"12501";"25000";"1270";"1475227688360";"4";"";""
"3";"25001";"37500";"1206";"1475227688363";"4";"";""
"4";"37501";"50000";"1165";"1475227688365";"8";"";""
"5";"50001";"62500";"1142";"1475227688368";"8";"";""
"6";"62501";"75000";"1118";"1475227688373";"6";"";""
"7";"75001";"87500";"1099";"1475227688377";"7";"";""
"8";"87501";"100000";"1100";"1475227688380";"10";"";""
"8";"1";"100000";"9592";"1475227688358";"33";"true";"Prim2"
"1";"1";"125000";"11734";"1475227688392";"59";"";""
"2";"125001";"250000";"10310";"1475227688393";"92";"";""
"3";"250001";"375000";"9860";"1475227688393";"150";"";""
"4";"375001";"500000";"9634";"1475227688429";"131";"";""
"5";"500001";"625000";"9448";"1475227688489";"143";"";""
"6";"625001";"750000";"9252";"1475227688530";"163";"";""
"7";"750001";"875000";"9210";"1475227688563";"168";"";""
"8";"875001";"1000000";"9050";"1475227688596";"156";"";""
"8";"1";"1000000";"78498";"1475227688392";"359";"true";"Prim2"
"1";"1";"1250000";"96469";"1475227688755";"3047";"";""
"2";"1250001";"2500000";"86603";"1475227688756";"4901";"";""
