"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"5";"666665";"833330";"12350";"1475227027415";"2994";"";""
"6";"833331";"1000000";"12079";"1475227028320";"2514";"";""
"6";"1";"1000000";"78498";"1475227027414";"3420";"true";"Prim2"
"1";"1";"1666666";"125796";"1475227030912";"5457";"";""
"2";"1666667";"3333332";"113323";"1475227030912";"6694";"";""
"3";"3333333";"4999998";"109393";"1475227030912";"8110";"";""
"4";"4999999";"6666664";"106869";"1475227030914";"8892";"";""
"5";"6666665";"8333330";"105309";"1475227030914";"9391";"";""
"6";"8333331";"10000000";"103889";"1475227031013";"9741";"";""
"6";"1";"10000000";"664579";"1475227030836";"9918";"true";"Prim2"
"2";"1429";"2856";"189";"1475227040754";"2";"";""
"1";"1";"1428";"225";"1475227040754";"2";"";""
"3";"2857";"4284";"174";"1475227040756";"0";"";""
"5";"5713";"7140";"162";"1475227040758";"0";"";""
"4";"4285";"5712";"164";"1475227040758";"0";"";""
"7";"8569";"10000";"162";"1475227040758";"2";"";""
"6";"7141";"8568";"153";"1475227040758";"2";"";""
"7";"1";"10000";"1229";"1475227040754";"7";"true";"Prim2"
"2";"14286";"28570";"1431";"1475227040762";"7";"";""
"1";"1";"14285";"1676";"1475227040762";"9";"";""
"4";"42856";"57140";"1313";"1475227040762";"10";"";""
"5";"57141";"71425";"1280";"1475227040762";"11";"";""
"3";"28571";"42855";"1374";"1475227040762";"17";"";""
"7";"85711";"100000";"1251";"1475227040772";"11";"";""
"6";"71426";"85710";"1267";"1475227040772";"12";"";""
"7";"1";"100000";"9592";"1475227040761";"23";"true";"Prim2"
"1";"1";"142857";"13252";"1475227040787";"203";"";""
"2";"142858";"285714";"11648";"1475227040789";"275";"";""
"4";"428572";"571428";"10889";"1475227040789";"278";"";""
"3";"285715";"428571";"11146";"1475227040789";"300";"";""
"5";"571429";"714285";"10687";"1475227040789";"336";"";""
"7";"857143";"1000000";"10359";"1475227040828";"332";"";""
"6";"714286";"857142";"10517";"1475227040828";"339";"";""
"7";"1";"1000000";"78498";"1475227040787";"380";"true";"Prim2"
"1";"1";"1428571";"109097";"1475227041170";"7031";"";""
"2";"1428572";"2857142";"98157";"1475227041170";"7328";"";""
"3";"2857143";"4285713";"94653";"1475227041170";"8450";"";""
"4";"4285714";"5714284";"92618";"1475227041764";"8923";"";""
"5";"5714285";"7142855";"91183";"1475227041170";"10145";"";""
"6";"7142856";"8571426";"89924";"1475227041274";"10424";"";""
"7";"8571427";"10000000";"88947";"1475227041461";"10599";"";""
"7";"1";"10000000";"664579";"1475227041167";"10893";"true";"Prim2"
"1";"1";"1250";"204";"1475227052063";"0";"";""
"2";"1251";"2500";"163";"1475227052065";"0";"";""
"4";"3751";"5000";"147";"1475227052067";"0";"";""
"5";"5001";"6250";"143";"1475227052067";"0";"";""
"6";"6251";"7500";"138";"1475227052067";"0";"";""
"8";"8751";"10000";"138";"1475227052067";"3";"";""
"3";"2501";"3750";"155";"1475227052071";"2";"";""
