"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"5";"666669";"833335";"12349";"1475231987139";"146";"";""
"6";"833336";"1000000";"12079";"1475231987194";"156";"";""
"6";"1";"1000000";"78498";"1475231987069";"281";"true";"Prim2"
"1";"1";"1666667";"125796";"1475231987351";"2446";"";""
"2";"1666668";"3333334";"113323";"1475231987351";"3676";"";""
"3";"3333335";"5000001";"109394";"1475231987353";"4335";"";""
"4";"5000002";"6666668";"106868";"1475231987397";"4520";"";""
"5";"6666669";"8333335";"105309";"1475231987485";"5084";"";""
"6";"8333336";"10000000";"103889";"1475231987581";"5209";"";""
"6";"1";"10000000";"664579";"1475231987351";"5440";"true";"Prim2"
"1";"1";"1429";"226";"1475231992839";"0";"";""
"2";"1430";"2858";"189";"1475231992839";"0";"";""
"3";"2859";"4287";"173";"1475231992840";"0";"";""
"4";"4288";"5716";"164";"1475231992841";"0";"";""
"5";"5717";"7145";"162";"1475231992841";"1";"";""
"6";"7146";"8574";"154";"1475231992842";"0";"";""
"7";"8575";"10000";"161";"1475231992843";"0";"";""
"7";"1";"10000";"1229";"1475231992838";"5";"true";"Prim2"
"1";"1";"14286";"1676";"1475231992844";"2";"";""
"2";"14287";"28572";"1432";"1475231992844";"5";"";""
"3";"28573";"42858";"1373";"1475231992845";"4";"";""
"4";"42859";"57144";"1314";"1475231992848";"5";"";""
"5";"57145";"71430";"1280";"1475231992850";"5";"";""
"6";"71431";"85716";"1267";"1475231992855";"5";"";""
"7";"85717";"100000";"1250";"1475231992856";"8";"";""
"7";"1";"100000";"9592";"1475231992843";"21";"true";"Prim2"
"1";"1";"142857";"13252";"1475231992865";"50";"";""
"2";"142858";"285714";"11648";"1475231992868";"86";"";""
"3";"285715";"428571";"11146";"1475231992870";"98";"";""
"4";"428572";"571428";"10889";"1475231992905";"97";"";""
"5";"571429";"714285";"10687";"1475231992941";"105";"";""
"6";"714286";"857142";"10517";"1475231992973";"116";"";""
"7";"857143";"1000000";"10359";"1475231993004";"120";"";""
"7";"1";"1000000";"78498";"1475231992865";"259";"true";"Prim2"
"1";"1";"1428571";"109097";"1475231993125";"2108";"";""
"2";"1428572";"2857142";"98157";"1475231993125";"3451";"";""
